192.168.1.10 - - [10/Dec/2025:10:00:01 +0530] "GET /index.php HTTP/1.1" 200 1234 "-" "Mozilla/5.0"
192.168.1.11 - - [10/Dec/2025:10:00:02 +0530] "GET /login.php HTTP/1.1" 404 512 "-" "curl/7.68.0"
192.168.1.11 - - [10/Dec/2025:10:00:03 +0530] "GET /login.php HTTP/1.1" 404 512 "-" "curl/7.68.0"
192.168.1.12 - - [10/Dec/2025:10:00:04 +0530] "GET /?id=1' OR 1=1 -- HTTP/1.1" 200 234 "-" "sqlmap/1.0"
192.168.1.50 - - [10/Dec/2025:10:00:01 +0530] "GET /login HTTP/1.1" 401 543 "-" "-"
192.168.1.50 - - [10/Dec/2025:10:00:02 +0530] "GET /login HTTP/1.1" 401 543 "-" "-"
... 10–15 lines
192.168.1.77 - - [10/Dec/2025:10:01:01 +0530] "GET /product?id=1 UNION SELECT 1,2 HTTP/1.1" 200 320 "-" "sqlmap"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
192.168.1.99 - - [10/Dec/2025:10:05:01 +0530] "GET / HTTP/1.1" 200 1000 "-" "-"
